comnam,ticker,org_id,org_id_candidates
AGILENT TECHNOLOGIES INC,A,D000019838,
AMERICAN AIRLINES GROUP INC,AAL,D000067697,
ADVANCE AUTO PARTS INC,AAP,D000042550,
APPLE INC,AAPL,,"D000060128, D000021754, D000060129, D000060130, D000031583, D000031584, D000047189, D000042050, D000051386, D000036995, D000029599"
ABBVIE INC,ABBV,D000066804,
AMERISOURCEBERGEN CORP,ABC,D000021841,
ABBOTT LABORATORIES,ABT,D000000383,
ACCENTURE PLC IRELAND,ACN,,
ADOBE SYSTEMS INC,ADBE,,
ANALOG DEVICES INC,ADI,D000060098,
ARCHER DANIELS MIDLAND CO,ADM,D000000132,
AUTOMATIC DATA PROCESSING INC,ADP,D000031719,
ALLIANCE DATA SYSTEMS CORP,ADS,D000046668,
AUTODESK INC,ADSK,D000031718,
AMEREN CORP,AEE,D000023888,
AMERICAN ELECTRIC POWER CO INC,AEP,D000000573,
A E S CORP,AES,,"D000023775, D000022526, D000000282, D000022751, D000050499, D000062055, D000035416, D000044277"
AETNA INC NEW,AET,D000000296,
AFLAC INC,AFL,D000000126,
ALLERGAN PLC,AGN,D000029765,
AMERICAN INTERNATIONAL GROUP INC,AIG,D000000123,
APARTMENT INVESTMENT & MGMT CO,AIV,D000040044,
ASSURANT INC,AIZ,D000021852,
GALLAGHER ARTHUR J & CO,AJG,,
AKAMAI TECHNOLOGIES INC,AKAM,D000031366,
ALBEMARLE CORP,ALB,D000046623,
ALASKA AIRGROUP INC,ALK,,
ALLSTATE CORP,ALL,,"D000060035, D000000632"
ALLEGION PLC,ALLE,,
ALEXION PHARMACEUTICALS INC,ALXN,D000045930,
APPLIED MATERIALS INC,AMAT,D000024099,
ADVANCED MICRO DEVICES INC,AMD,D000023765,
AMETEK INC NEW,AME,D000047109,
AFFILIATED MANAGERS GROUP INC,AMG,D000021808,
AMGEN INC,AMGN,,"D000000391, D000055900"
AMERIPRISE FINANCIAL INC,AMP,D000021700,
AMERICAN TOWER CORP NEW,AMT,D000047071,
AMAZON COM INC,AMZN,,
AUTONATION INC DEL,AN,D000019759,
ANTHEM INC,ANTM,,
AON PLC,AON,D000066741,
APACHE CORP,APA,,"D000024095, D000051040, D000034853, D000053665, D000056384"
ANADARKO PETROLEUM CORP,APC,D000000459,
